image,sample_id,age,slide_no,Region,WM,,Area_um2,,,,,BCAS1_cells,cell_density_per_mm2,age_group
A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647,A15-76,0mo,284,Calc,WM,1,252804.8,12.73,2,232,4,12,47.467452,a_0-1.5mo
crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc,A15-16,1mo,106,Calc,WM,2,875529.15,373.175,0,4095,4,47,53.681822,a_0-1.5mo
crop_MAX_A20-21_36gw6wo_Slide172_DAPI-405_CC1-488_Olig2-594_BCAS1-647_Calc-002_BCAS1,A20-21,6mo,172,Calc,WM,1,912864.94,23.39,0,255,4,97,106.25887,b_4-6mo
crop_MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Calc,9277024,1.5mo,150,Calc,WM,1,126331.4,3431.807,0,41335,1,7,55.409819,a_0-1.5mo
crop_MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Calc,9277024,1.5mo,191,Calc,WM,1,124777.37,9484.953,2478,65535,1,7,56.099918,a_0-1.5mo
crop_MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Calc,9277024,1.5mo,247,Calc,WM,2,106305.79,7226.586,1053,65535,1,11,103.47508,a_0-1.5mo
crop_MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Calc,9277024,1.5mo,300,Calc,WM,1,52826.848,5067.13,1959,55727,1,5,94.648842,a_0-1.5mo
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc,A19-122,4mo,101,Calc,WM,1,74041.895,7075.984,2214,51586,1,10,135.05867,b_4-6mo
crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc,A19-122,4mo,123,Calc,WM,1,82674.972,44.172,14,254,1,7,84.668913,b_4-6mo
crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc,A19-122,4mo,154,Calc,WM,3,180470.55,5935.363,1736,65535,1,28,155.14997,b_4-6mo
crop_MAX_A22-97_5mo_Slide137_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc,A22-97,5mo,137,Calc,WM,1,25831.985,52.403,0,255,1,7,270.98189,b_4-6mo
crop_MAX_A22-97_5mo_LH_Slide167_DAPI_PV-488_MVP-594_BCAS1-647_Calc,A22-97,5mo,167,Calc,WM,1,373189.56,57.335,24,243,1,45,120.58215,b_4-6mo
crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc,A20-21,6mo,73,Calc,WM,1,273415.26,63.706,8,255,2,29,106.06577,b_4-6mo
crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc,A20-21,6mo,118,Calc,WM,1,342481.76,39.951,2,255,1,41,119.71441,b_4-6mo
crop_MAX_A20-21_3mo_Slide150_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc,A20-21,6mo,150,Calc,WM,1,477351.37,124.761,0,240,4,84,175.971,b_4-6mo
crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Calc,A14-33,2yrs,75,Calc,WM,1,32003.882,60.713,25,188,1,6,187.47726,c_2yrs
crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Calc,A14-33,2yrs,241,Calc,WM,1,209790.31,66.673,19,217,1,7,33.36665,c_2yrs
crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Calc,A14-33,2yrs,273,Calc,WM,1,61845.047,83.849,24,243,1,1,16.169444,c_2yrs